id;Nome;Partido;Estado;Legislatura
73764;ABELARDO LUPION;PFL;PR;52
73886;ADÃO PRETTO;PT;RS;52
74328;ADAUTO PEREIRA;PFL;PB;52
74386;ADELOR VIEIRA;PMDB;SC;52
133374;ADEMIR CAMILO;PDT;MG;52
73765;AFFONSO CAMARGO;PSDB;PR;52
136811;AFONSO HAMM;PP**;RS;52
74358;AGNALDO MUNIZ;PP**;RO;52
73654;AGNELO QUEIROZ;PCdoB;DF;52
73457;AIRTON ROVEDA;PPS;PR;52
74018;ALBÉRICO FILHO;PMDB;MA;52
73579;ALBERTO FRAGA;PFL;DF;52
73427;ALBERTO GOLDMAN;PSDB;SP;52
73979;ALCESTE ALMEIDA;PTB;RR;52
73477;ALCEU COLLARES;PDT;RS;52
74828;ALDIR CABRAL;PFL;RJ;52
73428;ALDO REBELO;PCdoB;SP;52
73458;ALEX CANZIANI;PTB;PR;52
74829;ALEXANDRE CARDOSO;PSB;RJ;52
136226;ALEXANDRE MAIA;PMDB;MG;52
74830;ALEXANDRE SANTOS;PMDB;RJ;52
74057;ALICE PORTUGAL;PCdoB;BA;52
74451;ALMEIDA DE JESUS;PR;CE;52
74675;ALMERINDA DE CARVALHO;PMDB;RJ;52
74167;ALMIR MOURA;S.PART.;RJ;52
74341;ALMIR SÁ;PR;RR;52
73430;ALOYSIO NUNES FERREIRA;PSDB;SP;52
74036;ÁLVARO DIAS;PDT;RN;52
129617;AMADOR TUT;PR;MT;52
74260;AMAURI GASQUES;PR;SP;52
133440;ANA ALENCAR;PSDB;TO;52
134115;ANA GUERRA;PT;MG;52
74146;ANDERSON ADAUTO;PL*;MG;52
133377;ANDRÉ COSTA;PDT;RJ;52
74471;ANDRÉ DE PAULA;PFL;PE;52
133439;ANDRÉ FIGUEIREDO;PDT;CE;52
74168;ANDRÉ LUIZ;S.PART.;RJ;52
74377;ANDRÉ ZACHAROW;PMDB;PR;52
74699;ANGELA GUADAGNIN;PT;SP;52
74212;ANÍBAL GOMES;PMDB;CE;52
74072;ANIVALDO VALE;PSDB;PA;52
73928;ANN PONTES;PMDB;PA;52
73937;ANSELMO;PT;RO;52
133371;ANTENOR NASPOLINI;PSDB;CE;52
74452;ANTONIO CAMBRAIA;PSDB;CE;52
74373;ANTÔNIO CARLOS BIFFI;PT;MS;52
73492;ANTONIO CARLOS BISCAIA;PT;RJ;52
74058;ANTONIO CARLOS MAGALHÃES NETO;PFL;BA;52
73584;ANTONIO CARLOS MENDES THAME;PSDB;SP;52
73431;ANTONIO CARLOS PANNUNZIO;PSDB;SP;52
73817;ANTONIO CRUZ;PP**;MS;52
74194;ANTONIO JOAQUIM;PSDB;MA;52
73927;ANTONIO NOGUEIRA;PT;AP;52
74648;ARACELY DE PAULA;PR;MG;52
74103;ARIOSTO HOLANDA;PSB;CE;52
73433;ARLINDO CHINAGLIA;PT;SP;52
74405;ARMANDO ABÍLIO;PTB;PB;52
74472;ARMANDO MONTEIRO;PTB;PE;52
73434;ARNALDO FARIA DE SÁ;PTB;SP;52
73993;ARNALDO MADEIRA;PSDB;SP;52
74291;ARNON BEZERRA;PTB;CE;52
74833;AROLDE DE OLIVEIRA;PFL;RJ;52
74534;AROLDO CEDRAZ;PFL;BA;52
73435;ARY KARA;PTB;SP;52
73683;ARY VANAZZI;PT;RS;52
74222;ASDRUBAL BENTES;PMDB;PA;52
74378;ASSIS MIGUEL DO COUTO;PT;PR;52
74147;ATHOS AVELINO;PPS;MG;52
74090;ÁTILA LINS;PMDB;AM;52
74459;ÁTILA LIRA;PSDB;PI;52
73889;AUGUSTO NARDES;PP**;RS;52
74312;B. SÁ;PSB;PI;52
74349;BABÁ;PSOL;PA;52
74342;BADU PICANÇO;PR;AP;52
73663;BARBOSA NETO;PSB;GO;52
74517;BENEDITO DE LIRA;PP**;AL;52
74040;BENJAMIN MARANHÃO;PMDB;PB;52
74169;BERNARDO ARISTON;PMDB;RJ;52
74321;BETINHO ROSADO;PFL;RN;52
73478;BETO ALBUQUERQUE;PSB;RS;52
141335;BETO FARO;PT;PA;52
74030;BISMARCK MAIA;PSDB;CE;52
74650;BONIFÁCIO DE ANDRADA;PSDB;MG;52
74052;BOSCO COSTA;PSDB;SE;52
74577;CABO JÚLIO;PMDB;MG;52
133658;CAPITÃO WAYNE;PSDB;GO;52
73469;CARLITO MERSS;PT;SC;52
74285;CARLOS ABICALIL;PT;MT;52
74290;CARLOS ALBERTO LERÉIA;PSDB;GO;52
74473;CARLOS BATATA;PFL;PE;52
74466;CARLOS DUNGA;PTB;PB;52
74474;CARLOS EDUARDO CADOCA;PMDB;PE;52
141331;CARLOS LAPA;PSB;PE;52
74651;CARLOS MELLES;PFL;MG;52
74484;CARLOS MOTA;PSB;MG;52
73825;CARLOS NADER;PR;RJ;52
74676;CARLOS RODRIGUES;PL*;RJ;52
74262;CARLOS SAMPAIO;PSDB;SP;52
74835;CARLOS SANTANA;PT;RJ;52
73934;CARLOS SOUZA;PP**;AM;52
74148;CARLOS WILLIAN;PTC;MG;52
74799;CELCITA PINHEIRO;PFL;MT;52
73441;CELSO RUSSOMANNO;PP**;SP;52
74195;CÉSAR BANDEIRA;S.PART.;MA;52
74149;CÉSAR MEDEIROS;PT;MG;52
73480;CEZAR SCHIRMER;PMDB;RS;52
74379;CEZAR SILVESTRI;PPS;PR;52
141336;CHARLES LUCENA;PTB;PE;52
74181;CHICÃO BRÍGIDO;PMDB;AC;52
74171;CHICO ALENCAR;PSOL;RJ;52
74000;CHICO DA PRINCESA;PR;PR;52
73595;CHICO SARDELLI;PV;SP;52
74313;CIRO NOGUEIRA;PP**;PI;52
74537;CLAUDIO CAJADO;PFL;BA;52
141057;CLÁUDIO DIAZ;PSDB;RS;52
74263;CLÁUDIO MAGRÃO;PPS;SP;52
137116;CLAUDIO RORATO;PMDB;PR;52
74527;CLEONÂNCIO FONSECA;PP**;SE;52
74578;CLEUBER CARNEIRO;PTB;MG;52
141334;CLÓVIS CORRÊA;PSB;PE;52
74026;CLÓVIS FECURY;PFL;MA;52
74230;COLBERT MARTINS;PMDB;BA;52
74380;COLOMBO;PT;PR;52
74097;CONFÚCIO MOURA;PMDB;RO;52
73442;CORAUCI SOBRINHO;PFL;SP;52
74538;CORIOLANO SALES;PFL;BA;52
73923;CORONEL ALVES;PR;AP;52
74016;COSTA FERREIRA;PSC;MA;52
74579;CUSTÓDIO MATTOS;PSDB;MG;52
74467;DAMIÃO FELICIANO;PP**;PB;52
74060;DANIEL ALMEIDA;PCdoB;BA;52
74654;DANILO DE CASTRO;PSDB;MG;52
74187;DARCI COELHO;PP**;TO;52
73891;DARCÍSIO PERONDI;PMDB;RS;52
73924;DAVI ALCOLUMBRE;PFL;AP;52
74172;DELEY;PSC;RJ;52
73445;DELFIM NETTO;PMDB;SP;52
73704;DERVAL DE PAIVA;PMDB;TO;52
74264;DEVANIR RIBEIRO;PT;SP;52
73768;DILCEU SPERAFICO;PP**;PR;52
74265;DIMAS RAMALHO;PPS;SP;52
74468;DOMICIANO CABRAL;PSDB;PB;52
74343;DR. BENEDITO DIAS;PP**;AP;52
74705;DR. EVILÁSIO;PSB;SP;52
74150;DR. FRANCISCO GONÇALVES;PPS;MG;52
74680;DR. HELENO;PSC;RJ;52
74779;DR. HÉLIO;PDT;SP;52
73542;DR. PINOTTI;PFL;SP;52
74027;DR. RIBAMAR ALVES;PSB;MA;52
73920;DR. RODOLFO PEREIRA;PDT;RR;52
73459;DR. ROSINHA;PT;PR;52
74381;DRA. CLAIR;PT;PR;52
74266;DURVAL ORLATO;PT;SP;52
73793;EDINHO BEZ;PMDB;SC;52
133375;EDINHO MONTEMOR;PSB;SP;52
73599;EDIR OLIVEIRA;PTB;RS;52
73794;EDISON ANDRINO;PMDB;SC;52
74580;EDMAR MOREIRA;PFL;MG;52
73827;EDMUNDO GALDINO;PDT;TO;52
74267;EDNA MACEDO;PTB;SP;52
74061;EDSON DUARTE;PV;BA;52
74838;EDSON EZEQUIEL;PMDB;RJ;52
74655;EDUARDO BARBOSA;PSDB;MG;52
74416;EDUARDO CAMPOS;PSB;PE;52
74173;EDUARDO CUNHA;PMDB;RJ;52
73945;EDUARDO GOMES;PSDB;TO;52
74683;EDUARDO PAES;PSDB;RJ;52
74382;EDUARDO SCIARRA;PFL;PR;52
74344;EDUARDO SEABRA;PTB;AP;52
73938;EDUARDO VALVERDE;PT;RO;52
74174;ELAINE COSTA;PTB;RJ;52
74268;ELIMAR MÁXIMO DAMASCENO;PR;SP;52
74198;ELISEU MOURA;PP**;MA;52
73892;ELISEU PADILHA;PMDB;RS;52
74657;ELISEU RESENDE;PFL;MG;52
74269;ENÉAS;PR;SP;52
73893;ENIO BACCI;PDT;RS;52
74402;ENIO TATICO;PTB;GO;52
74408;ENIVALDO RIBEIRO;PP**;PB;52
74393;ÉRICO RIBEIRO;PP**;RS;52
74454;EUNÍCIO OLIVEIRA;PMDB;CE;52
74345;EVANDRO MILHOMEN;PCdoB;AP;52
74062;FÁBIO SOUTO;PFL;BA;52
74037;FÁTIMA BEZERRA;PT;RN;52
74542;FÉLIX MENDONÇA;PFL;BA;52
141344;FERNANDO CHUCRE;PSDB;SP;52
73471;FERNANDO CORUJA;PPS;SC;52
74063;FERNANDO DE FABINHO;PFL;BA;52
74658;FERNANDO DINIZ;PMDB;MG;52
136377;FERNANDO ESTIMA;S.PART.;SP;52
74417;FERNANDO FERRO;PT;PE;52
74841;FERNANDO GABEIRA;PV;RJ;52
74842;FERNANDO GONÇALVES;PTB;RJ;52
74843;FERNANDO LOPES;PMDB;RJ;52
74487;FERNANDO WILLIAM;PSB;RJ;52
74771;FEU ROSA;PP**;ES;52
74700;FLEURY;PTB;SP;52
74033;FRANCISCA TRINDADE;PT;PI;52
74480;FRANCISCO APPIO;PP**;RS;52
74844;FRANCISCO DORNELLES;PP**;RJ;52
137983;FRANCISCO ESCÓRCIO;PMDB;MA;52
74355;FRANCISCO GARCIA;PP**;AM;52
73981;FRANCISCO RODRIGUES;PFL;RR;52
74394;FRANCISCO TURRA;PP**;RS;52
137578;FRED KOHLER;PMDB;RJ;52
74200;GASTÃO VIEIRA;PMDB;MA;52
74544;GEDDEL VIEIRA LIMA;PMDB;BA;52
74374;GERALDO RESENDE;PPS;MS;52
74151;GERALDO THADEU;PPS;MG;52
74567;GERSON GABRIELLI;PFL;BA;52
74066;GERVÁSIO OLIVEIRA;PMDB;AP;52
73472;GERVÁSIO SILVA;PFL;SC;52
74383;GIACOBO;PR;PR;52
74778;GILBERTO KASSAB;PFL;SP;52
74270;GILBERTO NASCIMENTO;PMDB;SP;52
74581;GILMAR MACHADO;PT;MG;52
74558;GIVALDO CARIMBÃO;PSB;AL;52
74294;GONZAGA MOTA;PSDB;CE;52
74419;GONZAGA PATRIOTA;PSB;PE;52
129618;GORETE PEREIRA;PR;CE;52
74139;GUILHERME MENEZES;PT;BA;52
73460;GUSTAVO FRUET;PSDB;PR;52
74489;HAMILTON CASARA;PSDB;RO;52
73582;HELENILDO RIBEIRO;PSDB;AL;52
74053;HELENO SILVA;PR;SE;52
73925;HÉLIO ESTEVES;PT;AP;52
73940;HENRIQUE AFONSO;PT;AC;52
74324;HENRIQUE EDUARDO ALVES;PMDB;RN;52
73482;HENRIQUE FONTANA;PT;RS;52
133999;HENRIQUE MEIRELLES;PSDB;GO;52
74660;HERCULANO ANGHINETTI;PP**;MG;52
73772;HERMES PARCIANELLO;PMDB;PR;52
73946;HOMERO BARRETO;PTB;TO;52
73935;HUMBERTO MICHILES;PR;AM;52
74780;IARA BERNARDI;PT;SP;52
74325;IBERÊ FERREIRA;PSB;RN;52
74663;IBRAHIM ABI-ACKEL;PP**;MG;52
74271;ILDEU ARAUJO;PP**;SP;52
74295;INÁCIO ARRUDA;PCdoB;CE;52
74469;INALDO LEITÃO;PR;PB;52
74421;INOCÊNCIO OLIVEIRA;PR;PE;52
138512;IRINEU RODRIGUES;PPS;PR;52
74162;IRINY LOPES;PT;ES;52
73461;IRIS SIMÕES;PTB;PR;52
74152;ISAÍAS SILVESTRE;PSB;MG;52
74846;ITAMAR SERPA;PSDB;RJ;52
74562;IVAN PAIXÃO;PPS;SE;52
74387;IVAN RANZOLIN;PFL;SC;52
73531;IVAN VALENTE;PSOL;SP;52
74153;IVO JOSÉ;PT;MG;52
77701;JACKSON BARRETO;PTB;SE;52
73929;JADER BARBALHO;PMDB;PA;52
74665;JAIME MARTINS;PR;MG;52
74847;JAIR BOLSONARO;PP**;RJ;52
133376;JAIR DE OLIVEIRA;PMDB;ES;52
74547;JAIRO CARNEIRO;PFL;BA;52
74272;JAMIL MURAD;PCdoB;SP;52
74848;JANDIRA FEGHALI;PCdoB;RJ;52
73926;JANETE CAPIBERIBE;PSB;AP;52
74273;JEFFERSON CAMPOS;PTB;SP;52
74031;JOÃO ALFREDO;PSOL;CE;52
74549;JOÃO ALMEIDA;PSDB;BA;52
74261;JOÃO BATISTA;PP**;SP;52
74559;JOÃO CALDAS;PR;AL;52
74366;JOÃO CAMPOS;PSDB;GO;52
74131;JOÃO CARLOS BACELAR;PR;BA;52
74445;JOÃO CASTELO;PSDB;MA;52
73941;JOÃO CORREIA;PMDB;AC;52
73682;JOÃO DADO;PDT;SP;52
74054;JOÃO FONTES;PDT;SE;52
73454;JOÃO GRANDÃO;PT;MS;52
74781;JOÃO HERRMANN NETO;PDT;SP;52
74550;JOÃO LEÃO;PP**;BA;52
74049;JOÃO LYRA;PTB;AL;52
74120;JOÃO MAGALHÃES;PMDB;MG;52
73572;JOÃO MAGNO;PT;MG;52
73873;JOÃO MATOS;PMDB;SC;52
74170;JOÃO MENDES DE JESUS;S.PART.;RJ;52
73534;JOÃO PAULO CUNHA;PT;SP;52
74154;JOÃO PAULO GOMES DA SILVA;PSB;MG;52
73874;JOÃO PIZZOLATTI;PP**;SC;52
74240;JOÃO TOTA;PP**;AC;52
74477;JOAQUIM FRANCISCO;PFL;PE;52
73575;JOEL DE HOLLANDA;PFL;PE;52
74568;JONIVAL LUCAS JUNIOR;PTB;BA;52
74563;JORGE ALBERTO;PMDB;SE;52
74686;JORGE BITTAR;PT;RJ;52
74388;JORGE BOEIRA;PT;SC;52
74495;JORGE GOMES;PSB;PE;52
74552;JORGE KHOURY;PFL;BA;52
73569;JORGE PINHEIRO;PR;DF;52
73535;JORGE TADEU MUDALEN;PMDB;SP;52
135476;JORGE VI;PSC;AL;52
73775;JOSÉ BORBA;PMDB;PR;52
74553;JOSÉ CARLOS ALELUIA;PFL;BA;52
74140;JOSÉ CARLOS ARAÚJO;PR;BA;52
74671;JOSÉ CARLOS ELIAS;PTB;ES;52
74055;JOSÉ CARLOS MACHADO;PFL;SE;52
73462;JOSÉ CARLOS MARTINEZ;PTB;PR;52
74423;JOSÉ CHAVES;PTB;PE;52
74782;JOSÉ DIRCEU;PT;SP;52
74175;JOSÉ DIVINO;S.PART.;RJ;52
74274;JOSÉ EDUARDO CARDOZO;PT;SP;52
73901;JOSE FORTUNATI;PDT;RS;52
74401;JOSÉ IVO SARTORI;PMDB;RS;52
73776;JOSÉ JANENE;PP**;PR;52
74297;JOSÉ LINHARES;PP**;CE;52
74425;JOSÉ MENDONÇA BEZERRA;PFL;PE;52
74275;JOSÉ MENTOR;PT;SP;52
74584;JOSÉ MILITÃO;PTB;MG;52
74426;JOSÉ MÚCIO MONTEIRO;PTB;PE;52
74395;JOSÉ OTÁVIO GERMANO;PP**;RS;52
74298;JOSÉ PIMENTEL;PT;CE;52
74079;JOSÉ PRIANTE;PMDB;PA;52
74488;JOSÉ RAJÃO;PSDB;DF;52
74287;JOSÉ ROBERTO ARRUDA;PFL;DF;52
74554;JOSÉ ROCHA;PFL;BA;52
74741;JOSÉ SANTANA DE VASCONCELLOS;PR;MG;52
74520;JOSÉ THOMAZ NONÔ;PFL;AL;52
74141;JOSIAS GOMES;PT;BA;52
74176;JOSIAS QUINTAL;PSB;RJ;52
74351;JOSUÉ BENGTSON;PTB;PA;52
73666;JOVAIR ARANTES;PTB;GO;52
74276;JOVINO CÂNDIDO;PV;SP;52
74252;JUÍZA DENISE FROSSARD;PPS;RJ;52
74317;JÚLIO CESAR;PFL;PI;52
73586;JÚLIO DELGADO;PSB;MG;52
74253;JULIO LOPES;PP**;RJ;52
73994;JÚLIO REDECKER;PSDB;RS;52
74783;JULIO SEMEGHINI;PSDB;SP;52
73942;JÚNIOR BETÃO;PR;AC;52
74346;JURANDIL JUAREZ;PMDB;AP;52
74493;JURANDIR BOIA;PDT;AL;52
