id;Nome;Partido;Estado;Legislatura
141409;CLODOVIL HERNANDES;PR;SP;53
74026;CLÓVIS FECURY;DEM;MA;53
74230;COLBERT MARTINS;PMDB;BA;53
74016;COSTA FERREIRA;PSC;MA;53
141410;CRISTIANO MATHEUS;PMDB;AL;53
74579;CUSTÓDIO MATTOS;PSDB;MG;53
141411;DAGOBERTO;PDT;MS;53
141502;DALVA FIGUEIREDO;PT;AP;53
74467;DAMIÃO FELICIANO;PDT;PB;53
74060;DANIEL ALMEIDA;PCdoB;BA;53
159263;DANIEL FONTANA;PT;RS;53
73891;DARCÍSIO PERONDI;PMDB;RS;53
73924;DAVI ALCOLUMBRE;DEM;AP;53
141412;DAVI ALVES SILVA JÚNIOR;PR;MA;53
141413;DÉCIO LIMA;PT;SC;53
74172;DELEY;PSC;RJ;53
74264;DEVANIR RIBEIRO;PT;SP;53
73768;DILCEU SPERAFICO;PP**;PR;53
74265;DIMAS RAMALHO;PPS;SP;53
141415;DJALMA BERGER;PSB;SC;53
74197;DOMINGOS DUTRA;PT;MA;53
141371;DR. ADILSON SOARES;PR;RJ;53
141414;DR. BASEGIO;PDT;RS;53
74150;DR. FRANCISCO GONÇALVES;PPS;MG;53
141540;DR. NECHAR;PP**;SP;53
147975;DR. PAULO CÉSAR;PR;RJ;53
73542;DR. PINOTTI;DEM;SP;53
73459;DR. ROSINHA;PT;PR;53
141550;DR. TALMIR;PV;SP;53
141498;DR. UBIALI;PSB;SP;53
141385;DUARTE NOGUEIRA;PSDB;SP;53
141416;EDGAR MOURY;PMDB;PE;53
143253;EDIGAR MÃO BRANCA;PV;BA;53
73793;EDINHO BEZ;PMDB;SC;53
133375;EDINHO MONTEMOR;PSB;SP;53
141417;EDIO LOPES;PMDB;RR;53
73599;EDIR OLIVEIRA;PTB;RS;53
74580;EDMAR MOREIRA;PR;MG;53
139187;EDMILSON VALENTIM;PCdoB;RJ;53
141418;EDSON APARECIDO;PSDB;SP;53
74061;EDSON DUARTE;PV;BA;53
74838;EDSON EZEQUIEL;PMDB;RJ;53
141419;EDSON SANTOS;PT;RJ;53
141420;EDUARDO AMORIM;PSC;SE;53
