0;1
PELA ORDEM;"O SR. ADRIANO DO BALDY (Bloco/PP - GO. Pela ordem. Sem revisão do orador.) - Obrigado, Presidente. 
Eu gostaria de registrar a presença no plenário da jovem Alia Al Mansoori, que ganhou um prêmio internacional e pôde ajudar a NASA com uma experiência fantástica. Nós a convidamos a conhecer o Congresso Nacional. Ela está andando pelo Brasil e pelo mundo, dividindo a sua experiência como jovem cientista que está ajudando até mesmo a NASA.
Quero lhe dar as boas-vindas a esta Casa e ao Brasil. Seja bem-vinda!
Muito obrigado, Sra. Presidente."
DISCURSO ENCAMINHADO;"DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO ADRIANO DO BALDY.

Sra. Presidente, nobres colegas Deputados, venho hoje parabenizar o Município de Chapadão do Céu pelos seus 38 anos de fundação. O dia do aniversário de Chapadão do Céu é também o dia do aniversário de cada um de nós. É o dia das pessoas de bem, honradas e guerreiras. Parabéns a todos!
O aniversário de uma cidade é muito mais do que um marco na vida de cada cidadão, é uma página que viramos para conquistar novos sonhos, novas realizações e continuar reescrevendo a história. Aniversários são anos que refletem a permanência de algo que dura. Por isso com orgulho devemos comemorar o aniversário desse belíssimo Município.
Chapadão do Céu é uma cidade de povo ordeiro e trabalhador que luta com expectativa de atingir grandes vitórias. Compete a nós continuarmos lutando para alcançar a transformação do nosso Município e os objetivos do nosso povo.
Desejo que cada munícipe seja um ponto de apoio nesta construção diária, com valores sólidos que ajudem a preparar as crianças e os jovens para esse processo contínuo de transformação, buscando no presente um grandioso futuro. Que as conquistas da comunidade sejam sempre crescentes, demonstrando que somos nós que fazemos o amanhã e que nossa perseverança é a luz que ilumina o caminho rumo a um Chapadão do Céu cada vez melhor.
Parabéns a todos que diariamente cumprem sua missão, contribuindo assim com o desenvolvimento do Município, buscando sempre novos projetos e aceitando o desafio de fazer mais e melhor. 
O meu muito obrigado."
DISCURSO ENCAMINHADO;"DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO ADRIANO DO BALDY.

Sr. Presidente, nobres colegas Deputados, venho hoje parabenizar o Município de Formoso pelos seus 56 anos de emancipação política. Portanto, o dia do aniversário de Formoso é também o dia do aniversário de cada um de nós. É o dia das pessoas de bem, honradas e guerreiras. Parabéns a todos!
O aniversário de uma cidade é muito mais do que um marco na vida de cada cidadão: é uma página que viramos para conquistar novos sonhos, novas realizações e continuar reescrevendo a história. Aniversários são anos que refletem a permanência de algo que dura. Por isso, com orgulho, devemos comemorar o aniversário deste belíssimo Município.
Formoso é a cidade de um povo ordeiro e trabalhador que luta com a expectativa de atingir grandes vitórias. Compete a nós continuarmos lutando para alcançar a transformação do nosso Município e os objetivos do nosso povo.
Desejo que cada munícipe seja um ponto de apoio nesta construção diária, com valores sólidos, que ajudem a preparar as crianças e os jovens para este processo contínuo de transformação, buscando no presente um grandioso futuro. 
Que as conquistas da comunidade sejam sempre crescentes, demonstrando que somos nós que fazemos o amanhã e que nossa perseverança é a luz que ilumina o caminho rumo a um Formoso cada vez melhor!
Parabéns a todos os que diariamente cumprem sua missão, contribuindo para o desenvolvimento do Município, buscando sempre novos projetos e aceitando o desafio de fazer mais e melhor.
Meu muito obrigado."
PEQUENO EXPEDIENTE;"O SR. ADRIANO DO BALDY (Bloco/PP - GO. Sem revisão do orador.) - Sr. Presidente, nobres colegas Deputados, venho hoje parabenizar o Município de Goiânia pelos seus 86 anos de emancipação política. Portanto, o dia do aniversário de Goiânia é também o dia do aniversário de cada um de nós, é o dia das pessoas de bem, honradas e guerreiras. Parabéns a todos!
O aniversário da cidade é muito mais do que um marco na vida de cada cidadão, é uma página que viramos para conquistar novos sonhos, novas realizações e continuar reescrevendo a história. 
Por isso, com orgulho devemos comemorar o aniversário desta belíssima capital, Goiânia, cidade de povo ordeiro e trabalhador que luta com a expectativa de atingir grandes vitórias. Compete-nos continuar lutando para alcançar a transformação do nosso Município e o objetivo do nosso povo.
Parabéns a todos que diariamente cumprem a sua missão, contribuindo assim com o desenvolvimento do Município, buscando novos projetos e aceitando o desafio de fazer mais e melhor.
Muito obrigado."
