0;1
BREVES COMUNICAÇÕES;"O SR. ALCIDES RODRIGUES (PATRIOTA - GO. Sem revisão do orador.) - Sr. Presidente, Srs. Parlamentares aqui presentes, eu quero registrar a presença neste plenário do advogado e também Vereador Eliel, da minha querida cidade de Santa Helena de Goiás, no sudoeste goiano.
E estão presentes nas galerias dezenas de alunos e professores do Colégio Estadual José Salviano Azevedo. Eu queria dar as boas-vindas a eles.
Sejam sempre bem-vindos! Obrigado pela presença.
Obrigado, Sr. Presidente."
PELA ORDEM;"O SR. ALCIDES RODRIGUES (PATRIOTA - GO. Pela ordem. Sem revisão do orador.) - Peço à Mesa que compute o meu voto verbal: voto de acordo com a orientação do meu partido e com a do Governo, ou seja, ""sim"" à reforma da Previdência, em virtude da digitalização.
Obrigado."
PEQUENO EXPEDIENTE;"O SR. ALCIDES RODRIGUES (PATRIOTA - GO. Sem revisão do orador.) - Sra. Presidente, Sras. e Srs. Parlamentares, quero fazer o registro da presença nas galerias de uma expressiva comitiva de alunos e professores do Estado de Goiás, precisamente dos Municípios de Rio Verde e Santa Helena, sudoeste de Goiás, minha região. Portanto, aqui fica o registro dessa importante e honrosa visita a esta Casa de Leis. Sejam sempre bem-vindos!
Muito obrigado."
