0;1
PEQUENO EXPEDIENTE;O SR. VINICIUS GURGEL (PL - AP. Sem revisão do orador.) - Sr. Presidente, eu só gostaria de dizer que vim aqui registrar presença na Casa, mas o painel está desligado. Então, queria que ficasse registrado nas notas taquigráficas que o Deputado Vinicius Gurgel está presente na Casa.
BREVES COMUNICAÇÕES;"O SR. VINICIUS GURGEL (PL - AP. Pela ordem. Sem revisão do orador.) - Bom dia, Presidente. Bom dia a todos.
Reforço as palavras do PSOL, do PDT e também do Deputado Hildo Rocha aqui. Como essa medida vai afetar diretamente o Norte, por meio da ELETRONORTE, através da ELETROBRAS, somos também a favor desse adiamento, para que haja consenso, a fim de que não seja prejudicada e desmontada a ELETRONORTE, que tanto faz pelo Norte no Brasil.
Muito obrigado."
